"Is given in 2011EUR/GJ, was converted in 2011 USD  to EUR, and from 2012 to 2011 using the british consumer price index. After 2030, linear interpolation based on growth rate between 2025 and 2030.",,,
Time,Low,Central,High
2011,3.4342903691,3.4342903691,3.4342903691
2012,2.6945970588,2.8364179566,2.9782388545
2013,2.6222962089,3.0588821101,3.3647703211
2014,2.5499953591,3.2285110271,3.7123705609
2015,2.4749137073,3.2451958386,3.8514106568
2016,2.4026128574,3.2646614521,3.9932315547
2017,2.3303120075,3.2813462636,4.1350524525
2018,2.2580111576,3.300811877,4.2740925484
2019,2.1857103078,3.3174966885,4.4159134462
2020,2.1134094579,3.3369623019,4.5549535421
2021,2.1134094579,3.3369623019,4.6495008074
2022,2.1134094579,3.3369623019,4.7440480726
2023,2.1134094579,3.3369623019,4.8385953378
2024,2.1134094579,3.3369623019,4.9303618011
2025,2.1134094579,3.3369623019,5.0249090663
2026,2.1134094579,3.3369623019,5.069401897
2027,2.1134094579,3.3369623019,5.1138947277
2028,2.1134094579,3.3369623019,5.1583875584
2029,2.1134094579,3.3369623019,5.2028803891
2030,2.1134094579,3.3369623019,5.2473732198
2031,2.1134094579,3.3369623019,5.2918660505
2032,2.1134094579,3.3369623019,5.3363588812
2033,2.1134094579,3.3369623019,5.3808517119
2034,2.1134094579,3.3369623019,5.4253445426
2035,2.1134094579,3.3369623019,5.4698373733
2036,2.1134094579,3.3369623019,5.514330204
2037,2.1134094579,3.3369623019,5.5588230347
2038,2.1134094579,3.3369623019,5.6033158654
2039,2.1134094579,3.3369623019,5.6478086961
2040,2.1134094579,3.3369623019,5.6923015268
2041,2.1134094579,3.3369623019,5.7367943575
2042,2.1134094579,3.3369623019,5.7812871882
2043,2.1134094579,3.3369623019,5.8257800189
2044,2.1134094579,3.3369623019,5.8702728496
2045,2.1134094579,3.3369623019,5.9147656803
2046,2.1134094579,3.3369623019,5.959258511
2047,2.1134094579,3.3369623019,6.0037513417
2048,2.1134094579,3.3369623019,6.0482441724
2049,2.1134094579,3.3369623019,6.0927370031
2050,2.1134094579,3.3369623019,6.1372298338
2051,2.1134094579,3.3369623019,6.1817226645
2052,2.1134094579,3.3369623019,6.2262154952
2053,2.1134094579,3.3369623019,6.2707083259
2054,2.1134094579,3.3369623019,6.3152011566
2055,2.1134094579,3.3369623019,6.3596939873
2056,2.1134094579,3.3369623019,6.404186818
2057,2.1134094579,3.3369623019,6.4486796487
2058,2.1134094579,3.3369623019,6.4931724794
2059,2.1134094579,3.3369623019,6.5376653101
2060,2.1134094579,3.3369623019,6.5821581408
2061,2.1134094579,3.3369623019,6.6266509715
2062,2.1134094579,3.3369623019,6.6711438022
2063,2.1134094579,3.3369623019,6.7156366329
2064,2.1134094579,3.3369623019,6.7601294636
2065,2.1134094579,3.3369623019,6.8046222943
2066,2.1134094579,3.3369623019,6.849115125
2067,2.1134094579,3.3369623019,6.8936079557
2068,2.1134094579,3.3369623019,6.9381007864
2069,2.1134094579,3.3369623019,6.9825936171
2070,2.1134094579,3.3369623019,7.0270864478
2071,2.1134094579,3.3369623019,7.0715792785
2072,2.1134094579,3.3369623019,7.1160721092
2073,2.1134094579,3.3369623019,7.1605649399
2074,2.1134094579,3.3369623019,7.2050577706
2075,2.1134094579,3.3369623019,7.2495506013
2076,2.1134094579,3.3369623019,7.294043432
2077,2.1134094579,3.3369623019,7.3385362627
2078,2.1134094579,3.3369623019,7.3830290934
2079,2.1134094579,3.3369623019,7.4275219241
2080,2.1134094579,3.3369623019,7.4720147548
2081,2.1134094579,3.3369623019,7.5165075855
2082,2.1134094579,3.3369623019,7.5610004162
2083,2.1134094579,3.3369623019,7.6054932469
2084,2.1134094579,3.3369623019,7.6499860776
2085,2.1134094579,3.3369623019,7.6944789083
2086,2.1134094579,3.3369623019,7.738971739
2087,2.1134094579,3.3369623019,7.7834645697
2088,2.1134094579,3.3369623019,7.8279574004
2089,2.1134094579,3.3369623019,7.8724502311
2090,2.1134094579,3.3369623019,7.9169430618
2091,2.1134094579,3.3369623019,7.9614358925
2092,2.1134094579,3.3369623019,8.0059287232
2093,2.1134094579,3.3369623019,8.0504215539
2094,2.1134094579,3.3369623019,8.0949143846
2095,2.1134094579,3.3369623019,8.1394072153
2096,2.1134094579,3.3369623019,8.183900046
2097,2.1134094579,3.3369623019,8.2283928767
2098,2.1134094579,3.3369623019,8.2728857074
2099,2.1134094579,3.3369623019,8.3173785381
2100,2.1134094579,3.3369623019,8.3618713688
2101,2.1134094579,3.3369623019,8.4063641995
2102,2.1134094579,3.3369623019,8.4508570302
2103,2.1134094579,3.3369623019,8.4953498609
2104,2.1134094579,3.3369623019,8.5398426916
2105,2.1134094579,3.3369623019,8.5843355223
2106,2.1134094579,3.3369623019,8.628828353
2107,2.1134094579,3.3369623019,8.6733211837
2108,2.1134094579,3.3369623019,8.7178140144
2109,2.1134094579,3.3369623019,8.7623068451
2110,2.1134094579,3.3369623019,8.8067996758
2111,2.1134094579,3.3369623019,8.8512925065
